Modelo,AUC_macro,F1_macro,Recall_macro
XGBoost (individual),0.9145647671550602,0.8005050505050505,0.8031958912939513
Ensemble - Hard voting,,0.7971071391528856,0.804979934709833
Ensemble - Soft voting,0.9146504436447728,0.7971071391528856,0.804979934709833
Random Forest (individual),0.9125782330512088,0.7803568274658504,0.7962969893978564
