Modelo,Acuracia,AUC_macro,F1_macro,Recall_macro
XGBoost,0.818955042527339,0.9227257317173402,0.8108860386259767,0.8113505777001504
Random Forest,0.8226002430133658,0.922232773835197,0.8114710406868678,0.8112715641222908
Logistic Regression,0.7266099635479951,0.8742399637675827,0.6791615440009378,0.684003678058946
Decision Tree,0.7193195625759417,0.7838310883746367,0.7179052933505085,0.7205586629608837
