Modelo,Fase,AUC_macro,F1_macro,Recall_macro
Random Forest,Antes,0.9067546692660416,0.7925643645186046,0.7943002793199287
Random Forest,Depois,0.9125782330512088,0.7803568274658504,0.7962969893978564
XGBoost,Antes,0.9014693171559,0.7636112704395499,0.764233649156611
XGBoost,Depois,0.9145647671550602,0.8005050505050505,0.8031958912939513
