Modelo,Features,AUC_macro,F1_macro,Recall_macro
Random Forest,Com demograficas,0.9222327738351971,0.8114710406868678,0.8112715641222908
Random Forest,Apenas comportamentais,0.9049079862209034,0.7866856942492765,0.7877247093016541
XGBoost,Com demograficas,0.9227257317173402,0.8108860386259767,0.8113505777001504
XGBoost,Apenas comportamentais,0.8905541192828426,0.7611658253615259,0.7625757502246805
