Cenario,Classe,AUC,F1,Recall
1. Sem balanceamento (oficial),Baixo risco,0.9826505643697213,0.9166666666666666,0.9658536585365853
1. Sem balanceamento (oficial),Medio risco,0.8773401121353227,0.6666666666666666,0.6176470588235294
1. Sem balanceamento (oficial),Alto risco,0.8837036249601362,0.8181818181818182,0.8260869565217391
2. sample_weight balanceado,Baixo risco,0.9807956429078855,0.9045454545454545,0.9707317073170731
2. sample_weight balanceado,Medio risco,0.8829864740726662,0.6754385964912281,0.7549019607843137
2. sample_weight balanceado,Alto risco,0.8814239986771081,0.7626666666666667,0.6908212560386473
3. SMOTE (treino),Baixo risco,0.9828400031573131,0.9045454545454545,0.9707317073170731
3. SMOTE (treino),Medio risco,0.8826538693021635,0.6756756756756757,0.7352941176470589
3. SMOTE (treino),Alto risco,0.8825283772131864,0.7742782152230971,0.7125603864734299
